"","AI_trustworthy_chr","task_difficulty_chr","AI_help_count","Feedback","StartDate","Duration (in seconds)","Finished","ResponseId","PROLIFIC_PID","mTurkCode","year_born","gender_chr","education_chr","Group","Consent1_chr","Consent2_chr","Attn_check1_chr","Attn_check2_chr","sea_slug_resp","swimming_trunks_resp","megalith_resp","brown_bear_resp","nails_resp","chickpea_resp","goblet_resp","monitor_resp","spider_monkey_resp","gazania_resp","marimba_resp","football_helmet_resp","madagascar_cat_resp","shrimp_resp","mite_resp","nightsnake_resp","basenji_resp","vacuum_resp","cherry_resp","ruffed_grouse_resp","metronome_resp","envelope_resp","logwood_resp","fragrant_orchid_resp","howler_monkey_resp","sea_slug_conf","swimming_trunks_conf","megalith_conf","brown_bear_conf","nails_conf","chickpea_conf","goblet_conf","monitor_conf","spider_monkey_conf","gazania_conf","marimba_conf","football_helmet_conf","madagascar_cat_conf","shrimp_conf","mite_conf","nightsnake_conf","basenji_conf","vacuum_conf","cherry_conf","ruffed_grouse_conf","metronome_conf","envelope_conf","logwood_conf","fragrant_orchid_conf","sea_slug_time","swimming_trunks_time","megalith_time","brown_bear_time","nails_time","chickpea_time","goblet_time","monitor_time","spider_monkey_time","gazania_time","marimba_time","football_helmet_time","madagascar_cat_time","shrimp_time","mite_time","nightsnake_time","basenji_time","vacuum_time","cherry_time","ruffed_grouse_time","metronome_time","envelope_time","logwood_time","fragrant_orchid_time","age","college","male_num","AI_trustworthy_in_num","Task_difficulty_in_num","AI_help_percent","One_AI_bar","One_AI_nobar","Five_AI_bar","Five_AI_nobar","Five_AI_ABC","Control","AI","One_AI","Five_AI","bar","nobar","sea_slug","swimming_trunks","megalith","brown_bear","nail","chickpea","goblet","monitor","spider_monkey","gazania","marimba","football_helmet","madagascar_cat","shrimp","mite","night_snake","basenji","vacuum","cherry","ruffed_grouse","metronome","envelope","logwood","fragrant_orchid","howler_monkey","attn_check1_num","attn_check2_num","attn_check3_num","attn_check_sum","attn_check","avg_conf","avg_time_spent_per_Q","sea_slug_exact_match","swimming_trunks_exact_match","megalith_exact_match","brown_bear_exact_match","nail_exact_match","chickpea_exact_match","goblet_exact_match","monitor_exact_match","spider_monkey_exact_match","gazania_exact_match","marimba_exact_match","football_helmet_exact_match","madagascar_cat_exact_match","shrimp_exact_match","mite_exact_match","night_snake_exact_match","basenji_exact_match","vacuum_exact_match","cherry_exact_match","ruffed_grouse_exact_match","metronome_exact_match","envelope_exact_match","logwood_exact_match","fragrant_orchid_exact_match","sea_slug_synonym","swimming_trunks_synonym","megalith_synonym","brown_bear_synonym","nail_synonym","chickpea_synonym","goblet_synonym","monitor_synonym","spider_monkey_synonym","gazania_synonym","marimba_synonym","football_helmet_synonym","madagascar_cat_synonym","shrimp_synonym","mite_synonym","night_snake_synonym","basenji_synonym","vacuum_synonym","cherry_synonym","ruffed_grouse_synonym","metronome_synonym","envelope_synonym","logwood_synonym","fragrant_orchid_synonym","sea_slug_present","swimming_trunks_present","megalith_present","brown_bear_present","nail_present","chickpea_present","goblet_present","monitor_present","spider_monkey_present","gazania_present","marimba_present","football_helmet_present","madagascar_cat_present","shrimp_present","mite_present","night_snake_present","basenji_present","vacuum_present","cherry_present","ruffed_grouse_present","metronome_present","envelope_present","logwood_present","fragrant_orchid_present","sea_slug_category","swimming_trunks_category","megalith_category","brown_bear_category","nail_category","chickpea_category","goblet_category","monitor_category","spider_monkey_category","gazania_category","marimba_category","football_helmet_category","madagascar_cat_category","shrimp_category","mite_category","night_snake_category","basenji_category","vacuum_category","cherry_category","ruffed_grouse_category","metronome_category","envelope_category","logwood_category","fragrant_orchid_category","exact_match_answers_sum","synonym_answers_sum","present_answers_sum","category_answers_sum","exact_match_answers_as_percent","synonym_answers_as_percent","present_answers_as_percent","category_answers_as_percent"
"57","Somewhat trustworthy","Somewhat easy",12,NA,2020-05-08 14:36:19,"1482","True","R_1ImlgbhQQ43NDxa","5b214c5bb0bc070001e84fdf","948720",1995,"Female","High School","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","sunflower","earphone","football helmet","indri","shrimp","mite","hognose snake","basenji","hand bower","dalmation","partridge","pencil sharpener","hair slide","tent","stanhopea","howler monkey",0.4,0.6,0.8,1,1,1,1,1,0.8,0.6,0,1,1,0.8,1,0.6,1,0.4,0.8,0.8,0.2,0.6,0.8,1,112.274,39.969,43.314,19.201,14.376,102.542,46.322,25.618,61.185,91.26,56.51,22.456,45.32,33.06,37.748,132.002,35.982,58.438,55.572,95.373,57.041,34.864,19.655,97.733,25,0,0,4,2,0.48,0,0,0,0,1,0,1,0,1,0,1,"correct","correct","correct","correct","correct","correct","correct","synonym","correct","synonym","wrong","correct","category","correct","correct","wrong","correct","wrong","present","wrong","wrong","wrong","present","wrong","correct",1,1,1,3,1,0.758333333333333,55.7422916666667,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,12,14,16,17,0.5,0.583333333333333,0.666666666666667,0.708333333333333
"58","Somewhat trustworthy","Somewhat difficult",12,NA,2020-05-08 14:30:13,"2806","True","R_3eqXJjjbulL6Pwf","5e485d34da7b942fc3606d64","785835",1994,"Male","4 year degree","5AI_nobar","Yes","Yes","Spider Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","blue goblet","computer monitor","howler monkey","sunflower","knitting needles and thread","football helmet","lemur","shrimp","mite","hognose snake","basenji","electric razor","dalmation","quail","metronome","envelope","tents","stanhopea","howler monkey",0.8,0.8,0.8,1,1,0.6,1,1,0.8,1,0.8,1,1,1,1,0.6,1,0.4,1,0.6,1,0.8,1,0.8,6.335,6.133,85.519,38.439,4.682,9.009,15.129,7.198,8.733,998.512,30.4,15.081,27.621,8.125,11.315,43.793,12.894,43.51,14.13,994.032,12.775,9.206,10.041,68.683,26,1,1,4,4,0.48,0,0,0,1,0,0,1,0,1,0,1,"correct","correct","correct","correct","correct","correct","correct","correct","wrong","synonym","wrong","correct","synonym","correct","correct","wrong","correct","wrong","present","wrong","correct","correct","present","wrong","correct",0,1,1,2,0,0.866666666666667,103.387291666667,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,14,16,18,18,0.583333333333333,0.666666666666667,0.75,0.75
"59","Somewhat untrustworthy","Somewhat easy",11,NA,2020-05-08 14:36:04,"2548","True","R_3Msd5fNMk7bdFHk","5e9e0249533d5e18e76964a3","241161",1967,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Generic","sea slug","boxer shorts","big rocks","grizzley bears","nail","ckickpea","goblet","computer monitor","howler monkey","sunflower","timble","dallas cowboys football helmet","lemur","chicken","red bug","rattle snake","jack russel","clippers","dalmatian","partridge","pendulum","board with snow flakes","tent","coelogyne","howler monkey",0.8,0.6,0.6,0.8,1,1,1,1,1,1,0.4,1,1,0.6,0.6,0.8,0.8,0.6,1,1,0.8,0.6,1,1,112.104,61.996,22.639,14.299,13.817,66.255,10.719,16.86,25.259,9.994,124.245,22.573,30.729,19.998,14.314,59.156,14.931,31.945,49.781,778.673,263.148,36.451,114.746,76.7,53,1,0,2,2,0.44,0,1,0,0,0,0,1,1,0,0,1,"correct","category","present","synonym","correct","correct","correct","correct","wrong","synonym","category","correct","synonym","wrong","category","wrong","wrong","wrong","present","wrong","category","wrong","present","synonym","correct",1,0,1,2,0,0.833333333333333,82.9721666666667,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,6,10,13,17,0.25,0.416666666666667,0.541666666666667,0.708333333333333
"60","Somewhat trustworthy","Somewhat difficult",10,NA,2020-05-12 13:05:04,"338","True","R_1jqCZSyTWy2vsLT","5d002470f4534000181d5e09","123352",2000,"Male","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","monitor","howler monkey","gazania","thimble","football helmet","sqiurrel monkey","shrimp","mite","hognose snake","basenji","hairdryer","dalmatian","partridge","cello","handkerchief","tent","coelogyne","howler monkey",0.4,0.6,0.2,0.8,1,0.2,0.2,1,0.4,0.2,0.2,1,0.4,0.6,0.2,0.2,0,0.6,0.8,0.2,0.2,0,0.6,0,6.201,17.267,14.04,8.723,5.876,7.356,7.228,7.406,8.703,7.114,9.099,7.36,12.001,9.042,5.725,18.034,9.254,13.399,22.663,7.406,6.389,8.195,7.901,18.345,20,0,1,4,4,0.4,1,0,0,0,0,0,1,1,0,1,0,"correct","correct","correct","correct","correct","correct","correct","correct","wrong","correct","category","correct",NA,"correct","correct","wrong","correct","wrong","present","wrong","wrong","wrong","present","synonym","correct",1,1,1,3,1,0.416666666666667,10.1969583333333,1,1,1,1,1,1,1,1,0,1,0,1,NA,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,NA,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,NA,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,0,1,0,1,0,0,0,1,1,13,14,16,17,0.541666666666667,0.583333333333333,0.666666666666667,0.708333333333333
"61",NA,"I don't know",NA,NA,2020-05-12 13:08:07,"438","True","R_3HSrdmySBLqPHdi","5c7eebf7acc5a600013d1f28","15768",1999,"Female","2 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","coral","mens purple, floral shorts","man walking along a hill approaching large erect stones","a bear resting on another dog","long thin nails","chickpeas and veg","blue delicate vase","old computer","howler moneky in a tree","close up of a sunflower","handcrafted sticks","signed american football helmet","lema in a tree","shrimp pasta","red spider","large snake","corgi dog","electronic device","dalmatian dog behind cherries","bird sat upon stones and grass","scientific device","handmade decorated envelope","2 tents in a garden","white lillies","howler monkey",0.6,1,0.8,0.8,0.6,0.8,0.6,0.4,0.6,0.8,0.4,0.8,0.8,0.8,0.2,0.8,0.6,0.2,1,0.8,0.6,0.4,0.8,0.4,6.949,15.988,31.732,12.572,9.062,14.547,19.187,12.116,7.724,13.398,16.548,13.668,6.719,8.613,15.434,9.216,8.859,9.599,20.4,16.913,9.882,20.009,22.825,9.258,21,0,0,NA,3,NA,0,0,0,0,0,1,0,0,0,0,0,"synonym","synonym","category","present","correct","correct","category","synonym","wrong","synonym","wrong","correct","synonym","correct","wrong","category","wrong","category","correct","category","wrong","correct","present","present","correct",1,1,1,3,1,0.65,13.80075,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,6,11,14,19,0.25,0.458333333333333,0.583333333333333,0.791666666666667
"62","Somewhat trustworthy","Somewhat easy",20,NA,2020-05-12 13:07:02,"640","True","R_1nOdHZZlsSIAukE","5a836fc7b093f80001a7cc4b","567367",1998,"Male","Some college","5AI_nobar","Yes","Yes","Howler Monkey","Be Detailed","coral","swimming trunks","stones","brown bear","nail","chickpea","vase","desktop computer","spider monkey","sunflower","thimble","football helmet","squirrel monkey","shrimp","black widow","night snake","corgi","flash memory","dalmatian","pheasant","pencil sharpener","envelope","tent","cymbid","howler monkey",0.6,1,1,1,1,0.8,0.8,1,0.6,1,0.8,1,0.4,0.8,0.8,0.6,0.8,0.6,1,0.6,0.8,0.6,1,0.4,22.369,9.92,24.423,49.369,9.102,29.215,10.884,13.123,20.999,5.86,17.763,10.474,12.755,11.594,20.243,17.961,13.796,58.19,43.579,32.964,22.481,12.938,5.182,23.502,22,0,1,4,2,0.8,0,0,0,1,0,0,1,0,1,0,1,"synonym","correct","category","correct","correct","correct","category","synonym","correct","synonym","category","correct","category","correct","wrong","correct","wrong","wrong","present","wrong","wrong","correct","present","wrong","correct",1,0,1,2,0,0.791666666666667,20.7785833333333,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,9,12,14,18,0.375,0.5,0.583333333333333,0.75
"63","Somewhat trustworthy","Somewhat easy",10,NA,2020-05-12 13:08:34,"566","True","R_3JmbiM3E5rGuhxn","5e75ff3a629b771650f94cac","303227",2000,"Female","Some college","5AI_bar","Yes","Yes","Spider Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","gazania","thimble","football helmet","lemur","shrimp","tick","hognose snake","basenji","hand blower","dalmatian and cherries","ruffed grouse","pengelum and heart","envelope","tent","dendrobium","howler monkey",1,1,0.6,1,1,1,0.6,1,0.4,0.4,0.2,1,1,0.8,0.8,0.8,0.4,0.4,1,0.6,0.6,0.8,1,0.6,6.771,12.268,16.814,4.525,4.406,9.349,6.72,53.752,6.605,18.101,26.584,10.383,11.114,14.915,5.069,54.599,11.396,9.495,28.486,11.682,31.577,15.072,6.601,19.331,20,0,0,4,2,0.4,0,0,1,0,0,0,1,0,1,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","correct","correct","category","correct","synonym","correct","category","wrong","correct","wrong","correct","correct",NA,"correct","present","synonym","correct",0,1,1,2,0,0.75,16.4839583333333,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,NA,1,1,1,15,18,19,21,0.625,0.75,0.791666666666667,0.875
"64","Somewhat trustworthy","Somewhat difficult",11,NA,2020-05-12 13:08:29,"645","True","R_2iedt3xa5zFNFg5","5ca1164690279a001673e91c","250774",1990,"Female","4 year degree","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific","coral reef","swimming trunks","stonehenge","brown bear","nails","salad","goblet","desktop computer","spider monkey","sunflower","knitting needles","american football helmet","ring tailed lemur","fried shrimp","mite","hognose snake","basenji","hair dryer","dalmation","quail","metronome","tree ornaments","tents","phaius","spider monkey",0.8,0.8,0.8,0.8,1,0.8,1,1,0.8,1,0.8,1,1,0.8,0.4,0.2,0.4,0.4,1,0.6,1,0.6,1,0.2,7.831,11.452,10.843,8.635,8.226,15.278,9.955,12.611,92.565,7.554,15.51,15.003,68.341,12.792,22.538,24.031,16.849,42.612,13.422,13.86,13.475,17.306,10.371,11.905,30,1,0,4,4,0.44,0,0,0,0,1,0,1,0,1,0,1,"category","correct","category","correct","correct","category","correct","synonym","correct","synonym","wrong","correct","synonym","correct","correct","wrong","correct","wrong","present","wrong","correct","wrong","present","wrong","wrong",1,1,0,2,0,0.758333333333333,20.1235416666667,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,10,13,15,18,0.416666666666667,0.541666666666667,0.625,0.75
"65",NA,"Extremely difficult",NA,NA,2020-05-12 13:12:15,"484","True","R_1eQ7oS6XLpCLpHY","5e383d12e8f2120471000bcf","412006",1986,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","sea coral","patterned shorts","stone monument","bear","nails","chickpeas","blue glass bowl","desktop monitor","howler monkey","sunflower","drumsticks","signed american football helmet","small black and white monkey","prawns","tick","snake","dog","cleaner","dalmation dog","bird","wooden ticker timer","envelope","tents","flower","monkey",0.4,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.8,0,0.8,0.4,0.6,0.2,0.8,0.2,8.601,9.281,42.728,13.121,7.016,6.757,14.95,13.9,6.541,11.962,8.675,15.674,57.563,17.227,6.48,7.652,8.5,31.034,8.591,6.275,41.407,32.455,14.763,7.97,34,1,0,NA,5,NA,0,0,0,0,0,1,0,0,0,0,0,"category","category","category","correct","correct","correct","category","correct","wrong","synonym","wrong","correct","category","category","category","category","category","correct","present","category","wrong","correct","present","category","category",1,1,0,2,0,0.55,16.630125,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7,8,10,21,0.291666666666667,0.333333333333333,0.416666666666667,0.875
"66","Somewhat trustworthy","Somewhat difficult",7,NA,2020-05-12 13:07:37,"769","True","R_AvThEDLHJm0heEh","5eb9d1f3613bbd1044f45dfb","431451",1985,"Female","Doctorate","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific","coral reef","legs","man viewing stone structures","two grizzly bears","nail","chickpea salad","goblet","computer monitor","howler monkey","sunflower","ball of twine","football helmet","lemur","shrimp","tick","snake","dog","electric brush","dalmatian","pheasant","metronome","folded piece of paper covered with decoration","tents","orchid","howler monkey",0.6,1,0.8,1,1,1,1,1,0.6,0.8,0.4,0.6,0.6,1,0.6,0.6,0.6,0,0.8,0.4,1,0.4,1,0.4,15.707,16.614,43.328,11.309,6.324,15.392,12.222,12.754,14.217,12.162,49.871,26.465,13.803,14.113,18.405,12.529,24.458,39.211,23.153,37.185,14.698,40.695,11.219,22.148,35,1,0,4,4,0.28,0,0,0,0,1,0,1,0,1,0,1,"category","present","category","synonym","correct","correct","correct","correct","wrong","synonym","wrong","correct","synonym","correct","category","category","category","wrong","present","wrong","correct","category","present","category","correct",1,1,1,3,1,0.716666666666667,21.1659166666667,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,7,10,13,20,0.291666666666667,0.416666666666667,0.541666666666667,0.833333333333333
"67","Somewhat trustworthy","Somewhat difficult",13,NA,2020-05-12 13:16:24,"352","True","R_3qJAq4px414lqsI","5e7954f6f62c69504521a177","340731",2000,"Female","High School","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nails","chickpeas","goblet","computer","howler monkey","gazania","ball of string","crash helmet","squirrel monkey","shrimp","mite","hognose snake","basenji","ax","dalmation","partridge","cello","envelope","yurt","coelogyne","howler monkey",1,1,1,1,1,1,1,1,0.4,1,0.8,1,0.4,1,0.4,0.6,1,0.6,1,1,0.2,0.6,0.6,0.6,8.438,7.641,5.523,7.184,5.928,9.778,6.951,9.35,9.108,6.277,13.564,8.159,8.189,7.873,16.556,7.06,6.824,9.192,7.074,7.497,29.468,8.104,8.315,12.084,20,0,0,4,4,0.52,1,0,0,0,0,0,1,1,0,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","correct","wrong","wrong","category","correct","correct","wrong","correct","wrong","present","wrong","wrong","correct","wrong","synonym","correct",1,1,1,3,1,0.8,9.422375,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,12,14,15,16,0.5,0.583333333333333,0.625,0.666666666666667
"68","Somewhat untrustworthy","Somewhat difficult",10,NA,2020-05-12 13:12:35,"589","True","R_2YKSm2tL1Po7lEQ","5e8651c992ea75290a7eb1c0","131657",2001,"Male","High School","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nails","chickpea","goblet","computer monitor","spider monkey","sunflower","drumsticks","football helmet","lemur","fried shrimp","mite","rattle snake","basenji","flash memory","dalmatian","partridge","metronome","envelope","tents","coelogyne","howler monkey",0.2,1,0.2,0.8,1,0.2,1,1,0.4,0.8,0.6,1,0.6,1,0.6,0.2,0.2,0.6,1,0.2,1,0.6,1,0.2,7.463,13.539,11.511,7.435,7.934,23.787,9.947,15.134,12.633,18.449,19.718,11.584,35.482,12.756,6.705,23.292,22.218,35.087,14.228,26.164,50.443,18.86,17.312,15.111,19,0,1,2,4,0.4,0,0,0,1,0,0,1,0,1,0,1,"correct","correct","correct","correct","correct","correct","correct","correct","correct","synonym","wrong","correct","synonym","correct","correct","wrong","correct","wrong","present","wrong","correct","correct","present","synonym","correct",1,1,1,3,1,0.641666666666667,18.1996666666667,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,15,18,20,20,0.625,0.75,0.833333333333333,0.833333333333333
"69","Somewhat trustworthy","Somewhat difficult",15,NA,2020-05-12 13:14:06,"497","True","R_3CPo5WVffWRFZVD","5b25d6ce7f781600014611dc","301043",2000,"Male","High School","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific","sea slug","short pants","megalith","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","sunflower","thimble","football helmet","spider monkey","shrimp","mite","logger head","saint bernard","hand bower","dalmatian","pheasant","metronome","envelope","tent","phaius","howler monkey",0.6,0.8,0.8,1,1,1,0.8,1,0.8,1,0.8,0.8,0.4,1,0.6,0.4,0.2,0.6,1,0.4,0.6,0.8,0.8,0.2,7.941,6.725,9.956,12.01,19.538,22.076,8.336,7.269,7.751,5.432,13.261,12.979,9.16,9.391,17.075,13.121,15.162,12.89,12.503,19.198,111.518,13.453,5.718,9.681,20,0,1,4,4,0.6,0,0,0,0,1,0,1,0,1,0,1,"correct","category","correct","correct","correct","correct","correct","synonym","correct","synonym","category","correct","wrong","correct","correct","wrong","wrong","wrong","present","wrong","correct","correct","present","wrong","correct",1,1,1,3,1,0.725,15.9226666666667,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,12,14,16,18,0.5,0.583333333333333,0.666666666666667,0.75
"70",NA,"Somewhat easy",NA,"Fun",2020-05-12 13:14:28,"504","True","R_1eE6kwkUv60dfbo","5e0f8eb324f93969954ef22f","393845",1995,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","an underwater creature","a man's legs, he is wearing hula shorts with a blue, purple and white leafy print","stones on grass","two grizzly bears near a bush and some pavement","a row of nails with 4 of them","cauliflower, red peppers and other vegetables in a blue bowl","a blue vase","a very old, white computer that is on","a howler monkey","a section of a sunflower","a ball of yarn on a wooden seat","a signed football helmet","a lemur on a tree","deep fried tofu and pasta","a red bug on a rainy windshield","a snake","a dog on a red floor","a hair dryer with its charger and attachment","a dalmation and cherries","a bird","a metronome turned left in front of a heart shape","various shaped pins","two tents outside with trees and grass","white flowers","a howler monkey",0.8,0.8,0.8,0.8,1,1,0.6,1,0.6,0.6,0.8,1,0.8,0.4,1,1,0.8,1,1,1,1,0.8,1,1,33.735,23.432,37.485,17.672,9.557,78.369,9.802,11.892,4.591,10.348,29.242,6.928,6.354,19.593,12.827,4.608,6.488,20.718,7.334,4.389,33.581,9.985,14.611,4.434,25,1,0,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,"category","synonym","category","synonym","correct","wrong","category","synonym","wrong","synonym","wrong","correct","synonym","wrong","category","category","category","wrong","correct","category","correct","wrong","present","present","correct",1,1,1,3,1,0.858333333333333,17.415625,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,4,9,11,18,0.166666666666667,0.375,0.458333333333333,0.75
"71","Somewhat untrustworthy","Somewhat difficult",4,NA,2020-05-12 13:17:35,"379","True","R_2zIo7JP92nzMS3r","5d6c3ca659a832001917c72e","642545",1989,"Female","High School","5AI_bar","Yes","Yes","Howler Monkey","Be Specific","coral","swimming trunks","megalith","ice bear","nail","chickpea","vase","desktop computer","howler monkey","sunflower","thimble","football helmet","spider monkey","shrimp","tick","horned viper","corgi","hand blower","dalmatian","partridge","pencil sharpener","chest","tent","stanhopea","howler monkey",0.8,1,0,0.8,1,0.6,0.4,1,1,1,0,0.6,0.8,1,0.6,0,1,0.4,1,0.4,0.2,0.4,1,0,7.279,9.381,17.254,20.421,8.19,10.95,7.684,8.595,7.909,7.927,25.874,13.161,12.535,9.386,5.286,8.541,8.855,12.026,10.209,8.749,12.629,14.547,7.302,8.142,31,0,0,2,4,0.16,0,0,1,0,0,0,1,0,1,1,0,"synonym","correct","correct","category","correct","correct","category","synonym","wrong","synonym","category","correct","wrong","correct","category","wrong","wrong","wrong","present","wrong","wrong","wrong","present","wrong","correct",1,1,1,3,1,0.625,10.9513333333333,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,6,9,11,15,0.25,0.375,0.458333333333333,0.625
