"","AI_trustworthy_chr","task_difficulty_chr","AI_help_count","Feedback","StartDate","Duration (in seconds)","Finished","ResponseId","PROLIFIC_PID","mTurkCode","year_born","gender_chr","education_chr","Group","Consent1_chr","Consent2_chr","Attn_check1_chr","Attn_check2_chr","age","college","male_num","AI_trustworthy_in_num","Task_difficulty_in_num","AI_help_percent","One_AI_bar","One_AI_nobar","Five_AI_bar","Five_AI_nobar","Five_AI_ABC","Control","AI","One_AI","Five_AI","bar","nobar","attn_check1_num","attn_check2_num","attn_check3_num","attn_check_sum","attn_check","avg_conf","avg_time_spent_per_Q","exact_match_answers_sum","synonym_answers_sum","present_answers_sum","category_answers_sum","response","image","conf_resp","time_taken","image_accuracy","exact_match","synonym","present","category","values","ind"
"18",NA,"Somewhat easy",NA,"Format was clear",2020-05-08 14:33:07,"443","True","R_125AAeTTWmalQdG","5ea2b5c813b2901da1fd4c89","394902",1997,"Female","4 year degree","Control","Yes","Yes","Monkey","Be Specific",23,1,0,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.816666666666667,12.18025,4,8,14,23,"anemone","sea_slug_resp",0.6,14.183,"synonym",0,0,1,1,1,"sea_slug_category"
"19","Somewhat untrustworthy","Somewhat difficult",14,NA,2020-05-08 14:34:10,"387","True","R_esVcUqBBaD25hJL","5cc4c0dd52ee220017a54679","939441",2001,"Female","Some college","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",19,0,0,2,4,0.56,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.458333333333333,10.47375,7,10,13,15,"sea slug","sea_slug_resp",0,8.648,"correct",1,1,1,1,1,"sea_slug_category"
"20","Somewhat trustworthy","Somewhat easy",20,NA,2020-05-08 14:34:06,"393","True","R_3PYLaqXVxapjawO","5c2e564a8a20f50001ea086c","754522",1998,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Generic",22,1,0,4,2,0.8,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,0.85,10.541125,11,13,14,16,"sea slug","sea_slug_resp",1,12.903,"correct",1,1,1,1,1,"sea_slug_category"
"21","Somewhat trustworthy","Somewhat difficult",15,NA,2020-05-08 14:27:50,"779","True","R_10qJLGkgWX1dGrA","5759cae3970f470006c90e71","198896",1976,"Female","2 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",44,0,0,4,4,0.6,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.583333333333333,21.7797916666667,9,11,13,16,"sea slug","sea_slug_resp",0.4,16.357,"correct",1,1,1,1,1,"sea_slug_category"
"22",NA,"Somewhat difficult",NA,NA,2020-05-08 14:34:56,"355","True","R_1CrJsK4qtSXtt6E","59cce7e1f7b7a00001197f4c","756918",1997,"Female","Some college","Control","Yes","Yes","Howler Monkey","Be Detailed",23,0,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0.833333333333333,11.5229583333333,4,6,9,16,"sea animal","sea_slug_resp",0.4,4.694,"wrong",0,0,0,0,0,"sea_slug_category"
"23","Somewhat trustworthy","Somewhat easy",4,NA,2020-05-08 14:34:41,"372","True","R_31jfcKCFjR7fGBP","5c3e564d38ac8200017b979f","727885",1990,"Female","Some college","5AI_ABC","Yes","Yes","Spider Monkey","Be Specific",30,0,0,4,2,0.16,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0.666666666666667,11.129875,9,12,14,17,"coral reef","sea_slug_resp",0.8,8.002,"category",0,0,0,0,1,"sea_slug_category"
"24","Very trustworthy","Somewhat easy",25,NA,2020-05-08 14:28:14,"779","True","R_9FFax8pnyHOFoLT","5cbcda12a1db9f001a17d8e6","435443",1995,"Female","4 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",25,1,0,5,2,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.891666666666667,23.2817083333333,10,12,15,17,"sea","sea_slug_resp",1,37.988,"present",0,0,0,1,1,"sea_slug_category"
"25","Somewhat trustworthy","Somewhat difficult",4,NA,2020-05-08 14:30:29,"652","True","R_1LiExADvOGP6JxM","5e5fc1d84985132fcea17f1a","843827",2001,"Male","Some college","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific",19,0,1,4,4,0.16,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0.85,20.6447916666667,10,12,13,16,"coral reef","sea_slug_resp",1,11.81,"category",0,0,0,0,1,"sea_slug_category"
"26","Very untrustworthy","Somewhat difficult",5,NA,2020-05-08 14:35:08,"420","True","R_1mF8q0CDaemg7ru","5e270def1c55ad93b2c21a19","841365",1989,"Female","4 year degree","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific",31,1,0,1,4,0.2,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0.608333333333333,11.4670833333333,8,10,12,18,"coral reef","sea_slug_resp",0.4,21.841,"category",0,0,0,0,1,"sea_slug_category"
"27",NA,"Somewhat difficult",NA,NA,2020-05-08 14:35:33,"491","True","R_bvBomh3ItU7F9kd","5ea9df032bb71c13ab57d9f7","426241",1993,"Male","High School","Control","Yes","Yes","Howler Monkey","Be Specific",27,0,1,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.575,15.3240416666667,7,11,11,15,"sea snail","sea_slug_resp",0.2,18.849,"category",0,0,0,0,1,"sea_slug_category"
"28",NA,"Extremely difficult",NA,"Some of the images I didn't know what they were, but took my best guess. For most I could identify the basic thing e.g dog, but not specific breed for example",2020-05-08 14:32:06,"713","True","R_RLIvcfWzmIcz4Gd","5d487d2aa461b700181b9fd1","830745",1994,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",26,1,0,NA,5,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.591666666666667,23.1445833333333,7,11,13,16,"sea snail","sea_slug_resp",0,16.898,"category",0,0,0,0,1,"sea_slug_category"
"29","Somewhat trustworthy","Somewhat easy",22,NA,2020-05-08 14:35:42,"530","True","R_2X7L9H37BJ8SWVS","5ea53496ce0dc9394362e871","821055",1999,"Male","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific",21,1,1,4,2,0.88,0,0,1,0,0,0,1,0,1,1,0,1,1,1,3,1,0.841666666666667,18.003875,14,16,18,20,"sea slug","sea_slug_resp",1,10.335,"correct",1,1,1,1,1,"sea_slug_category"
"30","I don't know","Somewhat difficult",4,NA,2020-05-08 14:33:48,"691","True","R_3j97dTEZgrzu6oV","5cf56a1d639b150016eb8696","759748",1996,"Female","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",24,0,0,3,4,0.16,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.65,21.894625,12,15,18,20,"sea slug","sea_slug_resp",0.8,7.179,"correct",1,1,1,1,1,"sea_slug_category"
"31","Somewhat trustworthy","Somewhat easy",6,NA,2020-05-08 14:37:57,"511","True","R_1ruIJFHkKWcm9Le","5e7009e9e1924c5ef68ab762","482537",2000,"Female","High School","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",20,0,0,4,2,0.24,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.7,17.219125,7,11,12,17,"coral","sea_slug_resp",0,12.597,"synonym",0,0,1,1,1,"sea_slug_category"
"32","Somewhat untrustworthy","Somewhat difficult",0,NA,2020-05-08 14:32:39,"839","True","R_2rw7RhkSgdy0WgN","5c993969c6d15000019bbc4f","817060",1986,"Female","2 year degree","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific",34,0,0,2,4,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,3,1,0.55,25.620125,11,13,15,17,"sea cucumber","sea_slug_resp",0.2,75.383,"synonym",0,0,1,1,1,"sea_slug_category"
"33","Somewhat untrustworthy","Somewhat difficult",13,NA,2020-05-08 14:32:50,"829","True","R_2BmuQjyZLjXKVQ6","5a117dd8fe645f0001e9fd7a","578072",1959,"Female","Some college","5AI_bar","Yes","Yes","Howler Monkey","Be Specific",61,0,0,2,4,0.52,0,0,1,0,0,0,1,0,1,1,0,1,1,1,3,1,0.741666666666667,27.7264583333333,12,17,19,21,"sea cucumber","sea_slug_resp",0.4,33.981,"synonym",0,0,1,1,1,"sea_slug_category"
"34",NA,"I don't know",NA,NA,2020-05-08 14:40:03,"417","True","R_1eIAz49OlpLOcrL","5a929568777df200015fa707","758808",1989,"Male","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",31,1,1,NA,3,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.85,13.4777083333333,5,8,11,15,"undersea crustacean","sea_slug_resp",0.8,10.999,"wrong",0,0,0,0,0,"sea_slug_category"
"35","Somewhat trustworthy","Somewhat difficult",12,"I wasn’t sure if the Ai was being misleading in order to have an influence to my answers.",2020-05-08 14:35:24,"716","True","R_25Bfw7RSpl7aJNv","5eb44fb0caffba299096cc38","90992",1993,"Male","4 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",27,1,1,4,4,0.48,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.816666666666667,20.2489166666667,14,17,18,18,"sea slug","sea_slug_resp",1,5.473,"correct",1,1,1,1,1,"sea_slug_category"
"36","Somewhat untrustworthy","Somewhat difficult",20,NA,2020-05-08 14:39:29,"543","True","R_1rkSTYabFkuUNSV","5e9ce726b7e350211b9ac963","608679",1999,"Female","Some college","5AI_bar","Yes","Yes","Spider Monkey","Be Specific",21,0,0,2,4,0.8,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.675,16.9074166666667,13,16,18,21,"sea slug","sea_slug_resp",0.6,39.832,"correct",1,1,1,1,1,"sea_slug_category"
"37",NA,"Somewhat difficult",NA,"no concerns - quite interesting actually",2020-05-08 14:41:45,"413","True","R_2SqVB7u6H8r2DLz","5e0b80431333f9000d195faf","493770",1997,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",23,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.3,12.5443333333333,5,9,11,19,"sea coral","sea_slug_resp",0,10.285,"category",0,0,0,0,1,"sea_slug_category"
"38","Somewhat untrustworthy","Somewhat difficult",20,NA,2020-05-08 14:43:23,"347","True","R_1opOcMkEnnaoBKX","5e1bd786afb7a73f9acf643f","558952",1984,"Female","High School","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",36,0,0,2,4,0.8,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.783333333333333,9.41375,13,15,16,17,"sea slug","sea_slug_resp",1,6.435,"correct",1,1,1,1,1,"sea_slug_category"
"39","I don't know","Somewhat difficult",20,NA,2020-05-08 14:33:48,"993","True","R_3KW3yTLIN7CHPyG","5e79449c14d56d0e9374600e","148037",1980,"Female","4 year degree","5AI_nobar","Yes","Yes","Howler Monkey","Be Detailed",40,1,0,3,4,0.8,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0.691666666666667,35.1725833333333,13,15,17,18,"coral","sea_slug_resp",0.4,21.245,"synonym",0,0,1,1,1,"sea_slug_category"
"40","Somewhat untrustworthy","Somewhat difficult",18,NA,2020-05-08 14:39:16,"688","True","R_3s7iJFDD5kndThm","5dcaa42f3f0455772b90edb3","241067",1985,"Female","4 year degree","5AI_ABC","Yes","Yes","Tree","With All Possible Options",35,1,0,2,4,0.72,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.666666666666667,22.39275,16,17,19,20,"sea slub","sea_slug_resp",0.4,23.613,"correct",1,1,1,1,1,"sea_slug_category"
"41","Somewhat untrustworthy","Somewhat easy",10,NA,2020-05-08 14:38:08,"765","True","R_2waC7F7E69xgUwi","58a470a2ef58a9000119c101","61124",1988,"Female","High School","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific",32,0,0,2,2,0.4,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0.75,25.0104583333333,13,16,18,20,"sea slug","sea_slug_resp",0.8,9.224,"correct",1,1,1,1,1,"sea_slug_category"
"42","Somewhat untrustworthy","Somewhat difficult",16,"Some of the suggestions did not match the picture at all. For example, one picture showed a metronome and none of the suggestions matched. Another picture was of beaters for an xylophone and, again, none of the the suggestions matched this.",2020-05-08 14:38:31,"753","True","R_3GvVefy5BBcERqA","5e3084b0a7365308178187b7","615448",1968,"Female","4 year degree","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific",52,1,0,2,4,0.64,0,0,0,0,1,0,1,0,1,0,1,1,1,1,3,1,0.408333333333333,21.1077083333333,11,14,16,18,"sea cucumber","sea_slug_resp",0.2,20.577,"synonym",0,0,1,1,1,"sea_slug_category"
"43",NA,"Somewhat difficult",NA,NA,2020-05-08 14:38:15,"772","True","R_21jGO2unVjavQNK","5dea36a9f375c615d2bbc741","696807",1990,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",30,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0.583333333333333,27.3423333333333,7,11,14,19,"sea snail","sea_slug_resp",0.2,51.745,"category",0,0,0,0,1,"sea_slug_category"
"44","Somewhat untrustworthy","Somewhat easy",2,"very interesting survey thank you",2020-05-08 14:40:50,"628","True","R_3inkaoYYD04g78e","5c266b49d0bfea000122dbd5","976912",1979,"Female","Some college","5AI_nobar","Yes","Yes","Howler Monkey","With All Possible Options",41,0,0,2,2,0.08,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0.7,19.5080416666667,12,14,16,18,"sea slug","sea_slug_resp",0,25.462,"correct",1,1,1,1,1,"sea_slug_category"
"45","Somewhat untrustworthy","Somewhat easy",13,NA,2020-05-08 14:38:48,"766","True","R_3Jyf1S5mB6Z6GiY","57e17bdc1334540001170aa0","528675",1992,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific",28,1,0,2,2,0.52,0,0,1,0,0,0,1,0,1,1,0,1,1,1,3,1,0.858333333333333,24.169125,10,13,15,19,"sea slug","sea_slug_resp",0.8,40.778,"correct",1,1,1,1,1,"sea_slug_category"
"46","Somewhat trustworthy","Somewhat difficult",10,NA,2020-05-08 14:40:49,"699","True","R_3ez6iWO4y89koLK","5dcd6c123b0d9a03a746e407","787180",1991,"Male","Some college","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",29,0,1,4,4,0.4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.75,23.0417916666667,11,14,16,19,"sea slug","sea_slug_resp",1,20.935,"correct",1,1,1,1,1,"sea_slug_category"
"47","Somewhat trustworthy","Somewhat difficult",20,NA,2020-05-08 14:40:07,"750","True","R_3frwE7EpA2etC44","5e1be631fe04c0402ce45da0","776098",1965,"Male","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",55,0,1,4,4,0.8,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.808333333333333,22.93175,11,12,15,19,"sea slug","sea_slug_resp",0.8,16.939,"correct",1,1,1,1,1,"sea_slug_category"
"48","Somewhat trustworthy","Somewhat difficult",2,NA,2020-05-08 14:37:10,"966","True","R_2OTpNxeNd0QwnMq","5ea85a58a5dac60bc6c72be3","302888",1990,"Male","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",30,1,1,4,4,0.08,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.833333333333333,28.5084166666667,10,11,12,13,"i don’t know","sea_slug_resp",0.4,33.819,NA,NA,NA,NA,NA,NA,"sea_slug_category"
"49","Somewhat trustworthy","Somewhat difficult",13,"Very interesting, and difficult to choose which is the most relevant object in some of the images!",2020-05-08 14:35:23,"1082","True","R_3MArzN142reqZ6r","5893d8be6fd0a60001eba52a","234789",1977,"Male","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",43,1,1,4,4,0.52,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.633333333333333,35.8066666666667,12,13,16,16,"sea slug","sea_slug_resp",0.8,40.399,"correct",1,1,1,1,1,"sea_slug_category"
"50","I don't know","Somewhat easy",18,NA,2020-05-08 14:27:28,"1581","True","R_06CC7Ti1gtDB7Oh","5e835bf23be5e7065caf3670","168997",1985,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","With All Possible Options",35,1,0,3,2,0.72,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,0.791666666666667,55.6092083333333,7,10,12,14,"sea slug","sea_slug_resp",0.6,35.38,"correct",1,1,1,1,1,"sea_slug_category"
"51","Somewhat trustworthy","Somewhat difficult",5,NA,2020-05-08 14:40:55,"857","True","R_e3fXGnimMwlzBf3","57a0a143913c710001976735","747390",1977,"Female","4 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",43,1,0,4,4,0.2,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.491666666666667,23.4830416666667,11,12,14,20,"sea slug","sea_slug_resp",0.2,15.049,"correct",1,1,1,1,1,"sea_slug_category"
"52","Somewhat untrustworthy","Somewhat difficult",6,NA,2020-05-08 14:31:56,"1407","True","R_1ooOJK5ZrIYB4FH","5de6c2be36d8256401129135","494394",1957,"Male","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",63,1,1,2,4,0.24,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.866666666666667,44.6912083333333,10,13,17,20,"sea slug","sea_slug_resp",1,60.073,"correct",1,1,1,1,1,"sea_slug_category"
"53","Somewhat untrustworthy","Somewhat difficult",8,NA,2020-05-08 14:32:20,"1405","True","R_ypXaLJbVOdtwhFf","5a4d8b7b9f5e570001e8460c","197794",1982,"Female","4 year degree","5AI_nobar","Yes","Yes","Spider Monkey","Be Detailed",38,1,0,2,4,0.32,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.783333333333333,27.1883333333333,11,13,15,19,"coral","sea_slug_resp",0.8,8.091,"synonym",0,0,1,1,1,"sea_slug_category"
"54","Somewhat trustworthy","Somewhat easy",10,NA,2020-05-08 14:40:17,"1022","True","R_2aUMNHQIxiZeFj4","5ca5181bcaf0100001c13705","879432",1998,"Female","4 year degree","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific",22,1,0,4,2,0.4,0,0,0,0,1,0,1,0,1,0,1,1,1,1,3,1,0.691666666666667,37.1224166666667,12,15,17,19,"sea anemone","sea_slug_resp",0.2,61.376,"synonym",0,0,1,1,1,"sea_slug_category"
